"","Family","Subfamily","Tribe","Genus","animal","type","caste.number","caste.number.ref","colony.size","colony.size.ref","queen.mating.frequency.original","queen.number.continuous","queen.number.binary","Inherent_Constraints_Scale","Conditional_Constraints_Scale","Constraints_Confidence","Constraints_Scale_Notes","Ref.2","Supercolonial.Helantera.review_no.stringent.nonstringent","social.parasite.Antwiki_no.yes","clonal","hybridisation","Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies","Min_size","Max_size","Raw_Data_all_workers","Sample_size_all_workers","Queen_HW_mean","Queen_HW_mean.1","Sample_size_queen","Raw_data_queen"
"1133","Formicidae","Myrmicinae","Attini","Eurhopalothrix","Eurhopalothrix_heliscata","ant",1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1134","Formicidae","Myrmicinae","Crematogastrini","Eutetramorium","Eutetramorium_mocquerysi","ant",1,"Blanchard & Moreau, 2017",44,"Heinze et al., 1999","","1",0,3,NA,1,"Have ergatoid queens and workers that do not mate �In this Malagasy ant, all female individuals are similar in size and appearance; female reproductives with a distinct external morphology do not exist. Based on ovarian anatomy, however, two types of females can be distinguished: females with six ovarioles and a spermatheca, which can mate and produce diploid offspring, and females with only two ovarioles, which lack a spermatheca but can lay unfertilized eggs. [�] following strict morphological definitions we should consider these reproductive females morphologically extremely derived worker-like queens (e.g. ergatoid queens)� Ref: Heinze, J., H�lldobler, B., Alpert, G., 1999. Reproductive conflict and division of labor in Eutetramorium mocquerysi, a myrmicine ant without morphologically distinct female reproductives. Ethology 105, 701�717. https://doi.org/10.1046/j.1439-0310.1999.00450.x",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1135","Formicidae","Dolichoderinae","Leptomyrmecini","Forelius","Forelius_mccooki","ant",1,"Oster & Wilson, 1978; Godfrey & Gronenberg, 2020",10000,"Fjerdingstad & Crozier, 2006","","1",1,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1136","Formicidae","Dolichoderinae","Leptomyrmecini","Forelius","Forelius_pruinosus","ant",1,"Oster & Wilson, 1978",10000,"King & Porter, 2007","",NA,1,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1137","Formicidae","Formicinae","Formicini","Formica","Formica_archboldi","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",500,"King & Porter, 2007","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1138","Formicidae","Formicinae","Formicini","Formica","Formica_argentea","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",51,"Snyder, 1992","1","2,4",1,3,4,1,"page 191 The Ants",NA,0,0,0,0,0,1.43,1.53,"1.43, 1.516, 1.433, 1.466, 1.530",5,1.802,NA,1,"1.802"
"1139","Formicidae","Formicinae","Formicini","Formica","Formica_bradleyi","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",690.33,"Halverson et al., 1976","","1",0,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1140","Formicidae","Formicinae","Formicini","Formica","Formica_bruni","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",1400,"Beckers et al., 1989","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1141","Formicidae","Formicinae","Formicini","Formica","Formica_candida","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",2318.18,"Helantera & Sundstrom, 2007; Jaffe et al., 2012","1","2,4",1,NA,NA,NA,"",NA,0,0,0,0,0,0.976,1.437,"1.017, 1.363, 0.976, 1.437, 1.091, 1.346, 1.042, 1.31, 1.11, 1.021, 0.98, 0.997",12,NA,NA,NA,NA
"1142","Formicidae","Formicinae","Formicini","Formica","Formica_corsica","ant",1,"West & Purcell, 2020; Tawdros et al., 2020",NA,"","",NA,NA,NA,NA,NA,"",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
