animal,Family,Subfamily,Tribe,Genus,type,caste.number,caste.number.ref,colony.size,colony.size.ref,queen.mating.frequency.original,queen.number.continuous,queen.number.binary,Supercolonial.Helantera.review_no.stringent.nonstringent,social.parasite.Antwiki_no.yes,clonal,hybridisation,Taxonomic_info.Antcat.registered_undescribed.species_Antcat.unregistered_incertae.sedis._subspecies,Min_size,Max_size,Raw_Data_all_workers,Sample_size_all_workers,Queen_HW_mean,Queen_HW_mean.1,Sample_size_queen,Raw_data_queen
Odontomachus_rixosus,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",142,"Ito et al., 1996",,"24,3",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontomachus_ruginodis,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",200,"King & Porter, 2007",,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontomachus_simillimus,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontomachus_troglodytes,Formicidae,Ponerinae,Ponerini,Odontomachus,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017",245,"Villet, 1990; Beckers et al., 1989",,NA,NA,0,0,0,0,0,1.557,2.41,"1.793, 2.369, 1.655, 1.665, 1.801, 1.869, 1.557, 1.912, 2.410, 2.048, 1.860, 1.790, 1.986",13,NA,NA,NA,NA
Odontoponera_denticulata,Formicidae,Ponerinae,Ponerini,Odontoponera,ant,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Odontoponera_transversa,Formicidae,Ponerinae,Ponerini,Odontoponera,ant,1,"Blanchard & Moreau, 2017",47,"Wang et al., 2020",,,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Oecophylla_longinoda,Formicidae,Formicinae,Oecophyllini,Oecophylla,ant,2,"Holldobler&Wilson, 1990",490000,"Holldobler & Wilson, 1990; Beckers et al., 1989",,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Oecophylla_smaragdina,Formicidae,Formicinae,Oecophyllini,Oecophylla,ant,2,"Holldobler&Wilson, 1990; Kamhi et al., 2017; Sheeja et al., 2018",5.00E+05,"Jaffe et al., 2012","1,32","2,83",1,0,0,0,0,0,1.071,1.672,"1.423, 1.377, 1.515, 1.672, 1.5, 1.606, 1.578, 1.071, 1.292, 1.583",10,2.914,NA,1,2.914
Onychomyrmex_hedleyi,Formicidae,Amblyoponinae,Amblyoponini,Onychomyrmex,ant,1,"Oster & Wilson, 1978; Blanchard & Moreau, 2017; Miyata et al., 2003",846.41,"Miyata et al., 2003; Villet, 1990",,1,0,0,0,0,0,0,0.684,0.846,"0.751, 0.799, 0.845, 0.846, 0.699, 0.684, 0.689, 0.728, 0.730",9,NA,0.73,NA,NA
Ooceraea_biroi,Formicidae,Dorylinae,NA,Ooceraea,ant,1,"Borowiec, 2016; Oster & Wilson, 1978",600,"Tsuji & Yamauchi, 1994",NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ophthalmopone_berthoudi,Formicidae,Ponerinae,Ponerini,Ophthalmopone - synonymous with Pachycondyla_berthoudi,ant,1,"Holldobler&Wilson, 1990; Ito, 2010 - gamergate queenless species",165.95,"Villet, 1990; Monnin & Peeters, 2008 (citing Peeters & Crewe, 1984 + Peeters & Crewe, 1985 + Peeters & Crewe, 1986 + Sledge et al., 1996 +Sledge et al., 1999 + Sledge et al., 2001)",NA,13,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
